=== Cenário Estático ===
gen	avg	max	min	std
0	21.5184	202.3899	0.0101	37.2867
1	41.1146	429.7495	0.0000	60.9189
2	95.8025	1704.5979	0.0001	207.2418
3	193.2843	1704.5979	0.1589	316.2066
4	295.4072	1754.8321	0.3617	372.3179
5	373.5832	1526.6109	0.0001	361.4004
6	431.3265	1526.6109	0.0953	350.3822
7	638.0685	1526.6109	0.8714	478.1369
8	761.7507	1526.6109	0.1958	516.0786
9	1167.3821	1568.9920	243.3986	388.2491
10	1372.2900	1568.9920	16.0293	383.8972
11	1425.1263	1568.9920	7.8339	361.6480
12	1432.7557	1568.9920	0.0005	368.1539
13	1490.9175	1568.9920	0.2452	245.0758
14	1497.8282	1568.9920	5.9575	271.2958
15	1509.8834	1568.9920	65.8800	254.2429
16	1510.6476	1568.9920	35.1260	272.5064
17	1439.6921	1568.9920	0.6699	414.1401
18	1487.9205	1586.4052	1.5327	326.6436
19	1443.2104	1586.4052	0.2101	392.2275
20	1501.5220	1586.4052	1.1954	302.8731
21	1517.7220	1586.4052	1.7850	270.6919
22	1458.5501	1586.4052	0.4316	387.2734
23	1448.3693	1586.4052	0.2025	396.2886
24	1537.3519	1586.4052	263.0741	202.4224
25	1511.8188	1586.4052	1.1123	322.5933
26	1511.6236	1586.4052	0.4368	301.5587
27	1461.5627	1586.4052	1.8982	394.0039
28	1502.3678	1586.4052	29.2645	317.7708
29	1516.5300	1586.4052	7.7787	297.9771
30	1521.4146	1586.4052	7.7260	293.3569
31	1504.8039	1586.4052	0.1847	332.6139
32	1521.2426	1586.4052	8.0281	298.5971
33	1465.1121	1586.4052	0.5196	404.5009
34	1557.2615	1586.4052	6.8446	204.7389
35	1496.7212	1586.4052	0.1984	343.7279
36	1543.2064	1586.4052	173.2126	218.8675
37	1470.5335	1586.4052	1.5513	396.2859
38	1548.2214	1586.4052	1.7579	228.4060
39	1474.4718	1586.4052	1.6999	388.7495
40	1480.0557	1586.4052	6.7582	373.9057
41	1443.1020	1586.4052	2.0507	435.0045
42	1470.6081	1586.4052	2.1974	399.0555
43	1488.3707	1760.3762	1.1507	357.0799
44	1432.4155	1760.3762	7.2801	441.4526
45	1507.8229	1760.3762	0.8636	342.1241
46	1471.2959	1760.3762	6.4906	427.7604
47	1440.8300	1760.3762	0.5705	501.9982
48	1529.4268	1760.3762	0.1300	440.1232
49	1647.9382	1772.6682	0.5512	356.5184
50	1607.5729	1913.0937	0.0256	492.5951
51	1624.0545	1954.0982	0.2480	461.0328
52	1685.9997	1954.0982	1.1553	334.3152
53	1685.4940	1954.0982	0.0939	425.7060
54	1732.1838	1954.0982	3.0052	421.4504
55	1801.4819	2128.5819	3.2004	413.5697
56	1816.7318	2128.5819	0.1329	420.7070
57	1766.1913	2128.5819	0.5939	546.3011
58	1893.6830	2774.9001	0.4441	340.9314
59	1880.9542	2774.9001	0.6756	457.2897
60	1946.1537	2972.4445	0.4419	482.3412
61	2021.5829	2972.4445	1.3190	625.9484
62	2207.6571	2972.4445	3.1948	658.3259
63	2513.9602	2972.4445	0.5087	738.1741
64	2735.5579	2972.4445	0.0496	711.6123
65	2773.6518	2972.4445	0.0055	725.8610
66	2873.0638	2972.4445	10.1712	499.4105
67	2709.6981	2972.4445	0.0095	835.9043
68	2735.2675	2972.4445	1.6254	781.7066
69	2839.0429	3517.2668	5.3147	611.1388
70	2790.6962	3517.2668	0.1975	756.2108
71	2854.3179	3517.2668	0.3732	649.6757
72	2982.7035	3517.2668	6.2245	557.1056
73	2836.8404	3517.2668	0.2254	980.6984
74	3179.4437	3517.2668	0.7035	783.3123
75	3328.8151	3517.2668	4.0155	750.7670
76	3435.8627	3517.2668	2.5034	496.6800
77	3343.6135	3517.2668	0.6311	757.1544
78	3239.2087	3517.2668	0.0001	943.1739
79	3384.3128	3517.2668	3.2788	652.4559
80	3323.4240	3517.2668	0.0086	772.1785
81	3306.5574	3528.7772	0.0005	834.4978
82	3380.9536	3528.7772	7.2360	670.3366
83	3034.1241	3528.7772	0.1369	1147.2414
84	3213.3829	3528.7772	0.0010	976.8609
85	3342.7567	3528.7772	0.7154	754.7928
86	3339.9190	3528.7772	1.4656	747.2650
87	3356.8258	3528.7772	0.0001	749.5745
88	3352.6392	3528.7772	3.4074	767.7679
89	3318.0732	3528.7772	2.8758	819.6526
90	3199.1242	3528.7772	0.0022	1005.5135
91	3319.5969	3528.7772	3.3376	828.1954
92	3423.5467	3528.7772	0.7547	598.3799
93	3251.9030	3528.7772	0.8643	940.1058
94	3363.4525	3528.7772	0.7382	710.1726
95	3261.8690	3528.7772	0.1684	908.4018
96	3389.2678	3528.7772	8.7846	683.4944
97	3423.2228	3528.7772	7.7235	600.2083
98	3263.6857	3528.7772	2.3444	898.1887
99	3360.1465	3528.7772	42.6331	735.1741
