=== Cenário B ===
gen	avg	max	min	std
0	9003.1764	486868.2087	0.0000	31167.0281
1	18665.8692	1264505.6236	0.0000	75782.2245
2	36403.5064	1264505.6236	0.0000	111699.8051
3	69391.5981	1264505.6236	0.0000	168792.4324
4	101193.0558	1264505.6236	0.0000	217411.4668
5	161649.8717	1264505.6236	0.0000	285030.3367
6	265947.0815	1264505.6236	0.0000	370203.2294
7	451750.6525	1461554.1377	0.0000	472439.4683
8	724337.6731	1630469.0118	0.0000	534558.0922
9	1016504.5490	1787161.2502	0.0000	511260.7189
10	1150224.9362	1787161.2502	0.0000	522621.3866
11	1203877.0282	2010590.3340	0.0000	555416.9233
12	1267794.0342	2010590.3340	0.0000	545398.5523
13	1310009.3846	2129067.4693	0.0000	589640.9241
14	1423594.5648	2129067.4693	0.0000	609347.5108
15	1567848.7259	2520703.6766	0.0000	630454.7643
16	1713233.8375	4090678.9792	0.0000	676734.2513
17	1859998.3169	4583954.1861	0.0000	751253.6115
18	2008435.5635	4589550.0143	0.0000	967723.1002
19	2484611.2583	4616394.1191	0.0000	1338992.9909
20	2996200.0046	4616394.1191	0.0000	1575221.7154
21	3575390.6880	5001038.9284	0.0000	1665856.3199
22	3834832.6478	5001038.9284	0.0000	1658798.2811
23	3791234.3548	5007019.6727	0.0000	1728331.3160
24	3907715.1961	5041317.9664	0.0000	1650134.6190
25	3945960.4912	5041317.9664	0.0000	1697225.5853
26	4008224.7118	5342701.2990	0.0000	1753504.4664
27	4096616.9285	5346814.9491	0.0000	1776779.4850
28	4135224.0719	5346814.9491	0.0000	1881436.0355
29	4428083.4622	5346814.9491	0.0000	1714081.0743
30	4497499.8492	5346814.9491	0.0000	1779383.2023
31	4392315.2848	5346814.9491	0.0000	1976540.1554
32	4504899.7124	5381031.7698	0.0000	1913365.9327
33	4415731.1586	5381031.7698	0.0000	2004850.7897
34	4468749.6013	5400640.5607	0.0000	1948515.0766
35	4550159.2983	5400640.5607	0.0000	1887026.0263
36	4589103.8841	6683892.9638	0.0000	1865315.5619
37	4379952.2906	6683892.9638	0.0000	2081094.5415
38	4623113.9208	6683892.9638	0.0000	1909062.8586
39	4471379.7551	6683892.9638	0.0000	2175962.4256
40	4756834.1383	6683892.9638	0.0000	2130191.9527
41	4702014.7954	6696432.6508	0.0000	2497663.2828
42	4975203.9895	6696432.6508	0.0000	2608979.9211
43	5471548.4780	6696432.6508	0.0000	2449081.2039
44	5563864.7356	6696432.6508	0.0000	2472303.9089
45	5759279.8546	6696432.6508	0.0000	2260585.4237
46	5723425.5571	6696432.6508	0.0000	2324050.3632
47	5572023.4298	6696432.6508	0.0000	2461393.4473
48	5627883.3590	7013859.6452	0.0000	2417287.4334
49	5659303.2092	7013859.6452	0.0000	2386307.8084
50	5681061.9310	7013859.6452	0.0000	2378420.1944
51	5767385.3005	7013859.6452	0.0000	2338493.4007
52	5509146.0783	7013859.6452	0.0000	2652741.0274
53	5694249.1039	7015747.2467	0.0000	2598457.3581
54	5733408.5021	7015747.2467	0.0000	2608276.8617
55	5808318.6244	7015747.2467	0.0000	2601057.6441
56	5748168.3914	7015747.2467	0.0000	2652328.9137
57	6032768.5127	7015747.2467	0.0000	2413956.6238
58	5946729.4604	7015747.2467	0.0000	2493816.8237
59	5892660.5074	7065074.1345	0.0000	2555240.3648
60	5745766.2665	7065074.1345	0.0000	2675652.6692
61	5911608.6615	7065074.1345	0.0000	2523926.0035
62	5671149.0247	7065074.1345	0.0000	2752350.8076
63	6010509.0000	7065074.1345	0.0000	2442669.2766
64	6069753.2838	7065074.1345	0.0000	2402232.7929
65	5746027.2169	7065074.1345	0.0000	2719462.8643
