=== Cenário B ===
gen	avg	max	min	std
0	249.9981	4252.5284	0.0000	679.2419
1	645.8226	5402.9046	0.0054	1167.0314
2	1031.9772	6552.4352	0.0000	1562.3581
3	1573.4751	7987.1401	0.0053	2070.3772
4	1832.2139	7987.1401	0.0004	2361.5474
5	2590.6513	9649.5774	0.0037	2851.3214
6	3438.7935	14224.8131	0.0269	3333.3343
7	4287.9228	14224.8131	0.0001	3707.9174
8	5650.1985	14249.4594	0.2877	4225.9768
9	7169.6428	14612.1754	0.0490	5191.3747
10	10990.4381	14612.1754	117.5521	4403.1991
11	12958.8129	14634.4823	18.8694	3799.8821
12	12115.5856	24416.9659	0.0229	5121.7266
13	14161.4496	28055.4062	0.2746	5354.3732
14	16389.9838	28055.4062	0.0679	8063.8966
15	20469.2072	28055.4062	0.2313	9255.9489
16	24093.0257	55764.4141	21.9495	8938.3127
17	24742.1770	55764.4141	0.3035	10967.9741
18	23680.8837	55764.4141	0.0074	13290.0590
19	30181.7129	55764.4141	0.0073	15366.7560
20	38082.9202	55764.4141	0.1122	18280.1518
21	45237.4248	199031.4677	0.0011	25501.5853
22	49998.7804	199031.4677	0.0000	36380.1290
23	66524.1545	199031.4677	0.0465	51561.0414
24	110688.2241	237486.2166	0.2939	69762.9986
25	143489.7220	341785.9420	0.0189	76537.1247
26	181718.1217	664597.0603	0.6771	86863.3978
27	192640.1094	664597.0603	0.0510	114566.0440
28	255756.0368	664597.0603	0.2638	145319.7036
29	346064.8067	664597.0603	0.0002	200424.4440
30	400173.6808	664597.0603	0.0235	255028.0342
31	471447.2460	664597.0603	0.0228	276250.8327
32	592248.4299	664597.0603	24.8349	198200.6859
33	560219.2314	666324.1849	0.2984	233845.1710
34	564030.3268	666324.1849	0.7412	233170.2340
35	567706.2107	666324.1849	0.4331	231993.6686
36	574718.6382	666324.1849	22.1042	225418.0340
37	582230.0034	666324.1849	170.6446	217331.5214
38	606624.8962	666324.1849	62.9328	188905.5955
39	558397.8411	666324.1849	0.0040	240457.1317
40	566939.5728	666324.1849	0.1644	236598.4457
41	547960.2373	691343.3102	0.2464	249838.1026
42	631433.2404	691343.3102	1.3350	140500.1315
43	613764.9053	922489.7412	0.0008	191965.6285
44	605044.4104	922489.7412	1.1038	231123.8311
45	659725.3015	922489.7412	0.0012	241308.6577
46	660597.6982	922489.7412	0.0008	307896.9838
47	773936.0187	922489.7412	40.3121	280679.7507
48	726498.1763	922489.7412	29.9737	365576.4177
49	806598.9951	922489.7412	0.2821	295367.4372
50	804767.1422	922489.7412	1.1001	301394.6841
51	754058.9504	922489.7412	0.6078	350752.8154
52	812168.6608	931356.8150	23.1988	295356.8072
53	798255.3457	931356.8150	38.9430	309741.3497
54	732348.7120	931356.8150	0.2623	368364.3736
55	805198.3556	931356.8150	3.2977	300325.4232
56	816566.3226	931356.8150	0.6955	292379.6555
57	770242.3456	931356.8150	1.2157	344029.4013
58	801989.2877	931356.8150	0.2216	320202.5113
59	773385.1806	931356.8150	2.6172	339252.6978
60	774300.9920	931356.8150	0.0149	339465.0938
61	787334.3518	942775.6468	0.0269	326302.0947
62	785391.9124	942775.6468	0.4479	329943.4530
63	805984.0946	942775.6468	0.0249	311234.8218
64	810315.6523	942775.6468	1.2850	307437.5461
65	798026.9291	942775.6468	0.1103	333020.2661
66	791024.7008	942775.6468	1.5126	334472.1142
67	830082.1656	942775.6468	1.4974	301774.4186
68	829926.3408	942775.6468	186.2393	305600.3075
69	788138.4483	942775.6468	0.0053	342603.1646
70	782395.2199	942775.6468	0.0000	346145.0208
71	831920.8480	942775.6468	0.0034	300238.5785
72	830854.2222	942775.6468	0.0855	287916.4643
73	831024.4670	942775.6468	0.0902	302750.5412
74	809740.0233	942775.6468	1.3012	320314.9491
75	802537.4160	942775.6468	0.0061	333883.2393
76	758181.2915	942775.6468	39.0616	369492.5153
77	798842.7456	942775.6468	2.1921	329863.1331
78	788108.8482	942775.6468	2.8709	342903.8090
79	813626.4649	942775.6468	0.0007	320344.7042
80	802934.5669	942775.6468	1.0840	325865.4339
81	786134.7916	942775.6468	0.0238	347190.6970
82	792303.1126	942775.6468	6.7894	340112.8369
83	832262.3296	942775.6468	0.0820	299896.2698
84	839344.4679	942775.6468	0.0009	294213.8685
85	871428.6578	942775.6468	33.7027	239044.9367
86	788808.3928	942775.6468	0.7696	337281.1054
87	770050.6235	942775.6468	0.9955	355044.6099
88	715148.2301	942775.6468	0.5119	394111.4033
89	737113.6561	942775.6468	0.0023	379753.2938
90	848226.9847	942775.6468	1.0517	275540.2087
91	846191.4960	942775.6468	0.1022	280208.4329
92	796202.2997	942775.6468	0.2018	331785.9964
93	776543.8484	942775.6468	0.2020	355998.1673
94	801855.5263	942775.6468	0.0010	335459.7224
95	804001.1548	942775.6468	0.0008	330018.9935
96	843423.6243	942775.6468	0.0003	285247.7464
97	858988.3070	942775.6468	87.8717	266561.1604
98	774744.3656	942775.6468	16.6287	352111.4132
99	853721.8980	942775.6468	2.1301	269431.7615
