=== Epoch 1 ===
gen	avg	max	min	std
0	2598966.0324	33093970.4736	0.0000	6040856.5192
1	4962244.8496	56116577.8977	0.0000	10288255.6426
2	6297708.7916	56116577.8977	0.0000	10274644.3518
3	8103226.5541	38113938.6287	0.0000	10210745.7614
4	9781431.0871	34978602.2948	0.0000	10482786.8917
5	11187599.2385	45291797.2770	0.0000	12178222.2293
6	14171865.8235	45419698.5406	0.0000	13689742.0995
7	11764612.4921	45419698.5406	0.0000	14325045.4349
8	16025124.6949	53138228.7942	0.0000	15934388.1977
9	18864340.8155	53138228.7942	0.0000	17771436.4453
10	24482330.4108	53138228.7942	0.0000	18519851.0874
11	34555604.2161	57365857.3456	0.0000	16800456.4339
12	40741995.9364	57365857.3456	0.0000	16253731.5429
13	43632368.1416	61051854.3732	0.0000	15796685.8307
14	48481875.7126	61051854.3732	0.0000	14002312.7555
15	50753614.2354	61051854.3732	0.0000	17007739.7499
16	54948868.7995	61051854.3732	0.0000	14479745.6272
17	56493683.6723	61051854.3732	0.0000	15091322.6063
18	54163283.4679	61051854.3732	0.0000	18653523.2379
19	58196845.3729	61051854.3732	0.0000	11808315.2225
20	56989290.0734	61051854.3732	0.0000	13795680.3893
21	58701994.9866	61051854.3732	0.0000	10441556.9849
22	58576458.8428	61051854.3732	0.0000	10377819.7712
23	58609780.1982	61051854.3732	0.0000	11963671.2852
24	54133266.9655	61051854.3732	0.0000	18923867.8057
25	57142007.6965	61051854.3732	0.0000	14294276.9601
26	56436291.1678	61051854.3732	0.0000	14694294.7123
27	57714022.9847	61051854.3732	0.0000	13265883.7996
28	54934622.6767	61051854.3732	0.0000	17398187.2832
29	57744063.8860	61051854.3732	0.0000	13331141.1000
30	58368706.1865	61051854.3732	0.0000	11874430.9926
31	56320195.2313	61051854.3732	0.0000	15319036.8136
32	56719001.4492	61051854.3732	0.0000	15071642.2496
33	56427352.0313	61051854.3732	0.0000	15304999.6105
34	57234577.6342	66761838.1514	0.0000	14297428.1089
35	57412049.5439	66761838.1514	0.0000	13954263.2732
36	56903461.9680	66761838.1514	0.0000	16178503.1895
37	58393033.6587	66761838.1514	0.0000	14180698.5550
38	58131417.4049	66761838.1514	0.0000	17355714.1181
39	62226026.9113	66761838.1514	0.0000	13760939.7777
40	64297378.3257	66761838.1514	0.0000	11829003.7460
41	64788329.9458	66761838.1514	0.0000	10297596.9290
42	63518074.1027	66761838.1514	0.0000	14164389.0961
43	64958528.9921	66761838.1514	0.0000	9490969.5922
44	61735000.9101	66761838.1514	0.0000	16693673.0530
45	62923344.3487	66761838.1514	0.0000	14465281.5857
46	62345454.0030	66761838.1514	0.0000	15504126.4665
47	60900681.0872	66761838.1514	0.0000	18416281.8823
48	60169216.4982	66761838.1514	0.0000	19793745.9693
49	62048601.4033	66761838.1514	0.0000	16316650.7274
50	63209230.7468	66761838.1514	0.0000	14202246.6691
51	60029269.3958	66761838.1514	0.0000	19387410.8514
52	62365370.5521	66831321.4871	0.0000	16113241.6371
53	60726536.1284	66831321.4871	0.0000	18315586.0251
54	64343894.8155	66831321.4871	0.0000	11703758.8663
55	62699374.5227	66831321.4871	0.0000	15289472.6659
56	64324061.6076	66831321.4871	0.0000	12191067.6285
57	64025889.9383	66831321.4871	0.0000	12346221.5839
58	60026434.9720	66831321.4871	0.0000	18927082.9311
59	61733926.9294	66831321.4871	0.0000	17355014.1640
60	62307672.3229	66831321.4871	0.0000	15614228.2191
61	62473981.6446	66831321.4871	0.0000	16006321.1862
62	64158068.6276	66831321.4871	0.0000	13096210.9183
63	64402529.0306	66831321.4871	0.0000	12085481.1147
64	63255813.3081	66831321.4871	0.0000	14147944.3265
65	63066857.5215	66831321.4871	0.0000	15067659.0842
66	62588005.6102	66831321.4871	0.0000	15611601.0906
67	63489755.4128	66831321.4871	0.0000	14565548.8313
68	63769747.4095	66831321.4871	0.0000	13578038.2339
69	61961235.1754	74926548.6501	0.0000	17105308.7420
70	62634488.5854	74926548.6501	0.0000	16313871.1510
71	63448365.3291	74926548.6501	0.0000	17654762.1707
72	63625656.7873	74926548.6501	0.0000	19803838.6285
73	69167463.4941	74926548.6501	0.0000	16037364.0620
74	67544988.7077	74926548.6501	0.0000	21724877.6983
75	68832251.2815	74926548.6501	0.0000	19176150.7231
76	71028138.8161	74926548.6501	0.0000	15658444.0911
77	71544430.2011	74926548.6501	0.0000	14812764.7692
78	69259305.9557	74926548.6501	0.0000	18788604.3324
79	69681690.2446	74926548.6501	0.0000	19117285.3405
80	68135924.8536	74926548.6501	0.0000	20546742.9484
81	70116044.4831	74926548.6501	0.0000	16985695.4059
82	69681690.2446	74926548.6501	0.0000	19117285.3405
83	69564203.5977	74926548.6501	0.0000	17795254.2485
84	73642825.0070	74926548.6501	0.0000	9113532.9400
85	70294648.1320	74926548.6501	0.0000	17100249.2751
86	71257223.8527	74926548.6501	0.0000	16009037.9901
87	70118958.1570	74926548.6501	0.0000	17985009.9759
88	67192886.3347	74926548.6501	0.0000	22175357.7022
89	70011475.3578	74926548.6501	0.0000	17973332.2774
=== Epoch 1 ===
gen	avg	max	min	std
0	4137186.5990	39305786.7537	0.0000	8865791.8531
1	9585460.9518	49463012.2281	0.0000	12897941.2202
2	14717795.5717	49463012.2281	0.0000	15977437.1445
3	19542942.6197	52117367.4042	0.0000	17325998.6024
4	20343534.9067	58087935.0390	0.0000	17928017.9056
5	27880882.9905	58087935.0390	0.0000	19176097.3874
6	32176347.2919	58087935.0390	0.0000	19754324.5366
7	39153352.5318	62478406.3896	0.0000	18965969.5863
8	45316476.9629	62478406.3896	0.0000	18363192.8490
9	49339181.1744	65327548.1952	0.0000	19427302.9602
10	55293008.1087	65327548.1952	0.0000	15439933.9035
11	60202950.0483	62478406.3896	0.0000	10663939.3135
