=== Epoch 1 ===
gen	avg	max	min	std
0	27397869.8445	96996655.2460	3765637.7730	19344141.7256
1	41513756.2032	123336267.2626	3796991.3390	23067992.5922
2	55819699.2142	123336267.2626	7342317.9738	26128913.6601
3	68678472.4811	212507168.1291	4424514.4662	30716222.9758
4	81780801.6141	398014946.7279	6323611.6420	38303584.6535
5	88309629.4402	398014946.7279	3074088.6169	44163482.4121
6	105289060.8618	359441992.9764	5586251.7736	61017728.6608
7	128691591.1398	390534833.0786	3937628.3493	85754398.9299
8	156082338.5806	606958821.9305	4678973.2712	106904767.5028
9	202550329.6559	606958821.9305	4302675.5335	125700373.5762
10	224760285.4815	492171519.3805	3981377.1564	140628151.1265
11	265252939.7715	492171519.3805	4490426.9286	139581161.1093
12	269573467.1835	492171519.3805	3834099.5361	149859025.3940
13	316589339.4202	948177071.4129	8948096.5489	167196966.4865
14	359037117.9176	948177071.4129	3562240.0765	199845668.0226
15	373095028.7826	948177071.4129	7704616.8922	223066119.0082
16	430019510.2831	948177071.4129	3856634.1978	253019149.7234
=== Epoch 1 ===
gen	avg	max	min	std
0	31297303.5114	94385113.6155	3430413.6052	21204316.9324
1	41799687.5389	95835939.8751	6407659.7356	21148248.1716
2	48873176.0854	99957989.3558	5970726.1100	23992884.0867
3	61152210.2107	138078677.4360	7753737.2926	24790865.3240
4	74732914.3726	126207316.9370	8696059.7899	21625835.2336
5	80340636.1801	191070775.0753	3758944.1850	34468385.5200
6	87989954.1372	166137219.0563	7859139.3685	38913248.7588
7	102464602.5452	192441674.6061	16176405.3674	42216877.2203
8	116632636.1281	239004608.2945	20953324.6600	46203985.0990
9	134119052.6197	266022651.7951	3540705.4898	64294825.8954
10	140260864.6151	250737242.5394	3142359.2215	72920160.2010
11	145851049.8076	250737242.5394	5148533.8746	85862218.6270
12	168084021.5805	250737242.5394	5997779.7549	79549131.3159
13	186467175.5950	250737242.5394	11117777.2505	80487451.4311
14	199080000.1926	617907438.5113	3628450.9726	91891147.3066
15	207418783.6131	617907438.5113	5074535.4479	99211850.4935
16	197601789.6842	250737242.5394	3642200.4990	94216326.3982
17	198299538.2289	250737242.5394	4829628.1584	94271644.6115
18	200094080.9998	250737242.5394	5897286.0914	91366495.1512
19	209346281.8840	498219795.9348	7940484.0128	96161430.7105
20	227821459.0159	498219795.9348	8840822.5871	105453680.9673
21	237635609.1911	615814428.0979	6027629.0713	150237189.3864
22	307791692.9812	615814428.0979	6407302.5630	182173009.6612
23	302637235.5629	615814428.0979	4669462.6071	214193390.3534
24	404268837.6666	615814428.0979	5480253.0551	208271741.3031
25	479914331.3895	615814428.0979	3767842.5101	206447432.4666
26	515009101.0108	615814428.0979	17739585.6477	195686213.5648
27	491271103.4791	615814428.0979	5037857.0802	230300589.0310
28	531123543.0825	615814428.0979	20113974.4008	196342275.3803
