=== Epoch 1 ===
gen	avg	max	min	std
0	12618216.8421	59281497.8855	215719.9512	10685697.1561
1	17291083.5880	60839943.3707	362977.1494	12209290.2257
2	23709204.3380	63814891.1447	1564711.5719	12031218.6605
3	28715064.6581	70735701.3371	537928.0217	14177138.5089
4	31433853.3895	70735701.3371	780170.8692	14737450.7064
5	33347255.5891	70735701.3371	1140755.9938	16466333.8723
6	36786313.3838	75102145.0757	2265314.2933	18288846.2687
7	45068210.2121	75102145.0757	1299242.7756	19228229.6084
8	46290844.4911	77903964.0699	1118791.4695	21707018.0402
9	51693975.0780	77903964.0699	1058300.2521	21889172.5615
10	56906834.7481	93497621.0567	462934.1582	22072903.9728
11	61724794.3676	93497621.0567	486811.3564	22466143.1178
12	67329837.7851	115303060.7256	3352795.6997	21993123.1012
13	61101640.3823	115303060.7256	310438.1194	32980376.2461
14	71572595.5558	118040193.0120	821688.2718	30663010.4339
15	81582123.9696	118040193.0120	657129.8747	29586221.7646
16	79863654.1182	118040193.0120	799198.1914	39365817.9770
17	88542408.1522	118040193.0120	1972628.9952	35764589.1920
18	91588245.5309	118040193.0120	1277352.0067	39341583.0095
19	98725675.7723	118040193.0120	891521.7374	34264401.3769
20	97204603.6533	118040193.0120	1129146.1117	36728323.4648
21	90733172.3195	118040193.0120	431115.3247	43026891.5926
22	100113402.2655	119181806.3933	1421692.6390	33199688.7789
23	101354312.4949	119181806.3933	644168.6634	34519133.0852
24	98710065.6650	147906345.2148	1672657.2793	39082673.6342
25	103657290.0078	147906345.2148	1421318.2940	40589317.0532
26	106235318.1190	147906345.2148	2035993.4842	43920459.5969
27	113063871.2420	147906345.2148	98182.8198	47758730.5824
28	123917744.2194	147906345.2148	1788658.3125	43998816.8183
29	122302417.8768	147906345.2148	995665.1310	51397763.8996
30	131037284.9608	147906345.2148	1068946.7601	41158869.9065
31	127166665.4095	147906345.2148	1205280.1565	46500993.9184
32	119401792.4500	147906345.2148	122632.8816	51844693.6248
33	121115582.8232	147906345.2148	1101899.0027	51181914.2455
34	125382846.4438	148312642.3164	1221109.3004	46148293.1565
35	127641944.1300	148312642.3164	1118332.2876	44325550.1605
36	121866706.2865	148312642.3164	567943.7923	50051004.5710
37	122524611.0699	148312642.3164	2281005.0322	48731962.3497
38	112081324.1671	148312642.3164	1526030.7961	57209675.0527
39	127954976.0563	148312642.3164	221915.4642	45879452.2988
40	116741422.1474	148312642.3164	476472.2625	52764931.4410
41	115283312.1687	151797005.5449	2153179.8407	52190803.3002
42	131719303.2152	148312642.3164	2669982.8303	40313488.4723
43	129162360.5992	148312642.3164	517888.8440	43504181.6654
44	128909181.9042	148312642.3164	2170591.0873	44427333.1476
45	129995542.6337	148312642.3164	2576053.8325	42542043.6739
46	134963723.9503	148312642.3164	692701.1867	37313902.1190
47	124516640.3534	148312642.3164	1951907.6347	44875934.7864
48	122233287.4796	151696172.7385	1005640.2415	48037576.9288
49	121401739.3836	151696172.7385	1437945.4290	49396598.8963
50	118967719.8022	151696172.7385	1755258.1683	50494529.9435
51	124949047.2419	151696172.7385	911944.8606	49119535.9016
52	121795379.8856	151696172.7385	923849.7633	49742941.4975
53	122840502.0869	151923420.7195	224632.5802	50651012.8668
54	125249966.3858	151923420.7195	1048079.8726	49376145.7749
55	127964887.8233	151923420.7195	1863862.6304	48773714.9865
56	124107987.3503	151923420.7195	2028205.0191	51531081.4908
57	123249220.7499	151923420.7195	116604.0578	52300393.2593
58	133090107.7572	151923420.7195	2946901.4651	43192879.7693
59	121781533.3291	186443401.0475	129930.3495	54656749.9866
60	129465628.6878	186443401.0475	2671389.6747	47831313.0717
61	129530166.8499	186443401.0475	543818.9077	52193353.3814
62	135970774.5704	186443401.0475	2777378.4697	51764058.3082
63	141924705.0697	186443401.0475	1138656.6588	58219384.3866
64	154987835.7553	186443401.0475	410136.7836	54579045.5503
65	155997796.2516	186443401.0475	2406599.5335	61690440.0213
66	137029991.6922	186443401.0475	642871.7292	73828508.5936
67	160775840.5522	186443401.0475	669811.3477	55601670.7808
68	148092034.4470	186443401.0475	508218.7530	69583760.0738
69	153663688.5379	186443401.0475	260525.7418	63103800.8385
70	167237078.1154	186443401.0475	1181162.1883	50276382.5145
71	149744324.5909	186443401.0475	1833549.1278	68972826.3141
72	153168092.9040	186443401.0475	10271.3282	60154157.7875
73	154293215.6654	186443401.0475	709591.5111	59599210.4190
74	148591288.7110	186443401.0475	1800067.6062	67591123.7473
75	154450621.5424	186443401.0475	554340.3467	63318235.9471
76	144805304.3146	186443401.0475	970604.3933	69671166.6584
77	150241196.0949	186443401.0475	2492113.0174	65409607.7801
78	160453408.2648	186443401.0475	129577.4906	55849881.5557
79	148854614.5259	186443401.0475	2768360.9339	70477577.9808
80	148831808.9006	186443401.0475	669243.2567	67248257.7791
81	161360755.6520	186443401.0475	2147503.4479	55734493.1637
82	154299055.6496	186443401.0475	1235282.4676	63137256.0912
